a b 1930, cosine similarity=0.16
a b 1940, cosine similarity=0.10
a b 1950, cosine similarity=0.09
a b 1960, cosine similarity=0.11
a b 1970, cosine similarity=0.09
a b 1980, cosine similarity=0.04

a alphabet 1930, cosine similarity=-0.06
a alphabet 1940, cosine similarity=-0.07
a alphabet 1950, cosine similarity=-0.04
a alphabet 1960, cosine similarity=0.03
a alphabet 1970, cosine similarity=0.00
a alphabet 1980, cosine similarity=0.04

a the 1930, cosine similarity=-0.21
a the 1940, cosine similarity=-0.17
a the 1950, cosine similarity=-0.26
a the 1960, cosine similarity=-0.31
a the 1970, cosine similarity=-0.28
a the 1980, cosine similarity=-0.27

a grade 1930, cosine similarity=0.09
a grade 1940, cosine similarity=0.03
a grade 1950, cosine similarity=-0.00
a grade 1960, cosine similarity=-0.01
a grade 1970, cosine similarity=0.02
a grade 1980, cosine similarity=0.07

a letter 1930, cosine similarity=0.06
a letter 1940, cosine similarity=0.05
a letter 1950, cosine similarity=0.08
a letter 1960, cosine similarity=0.17
a letter 1970, cosine similarity=0.07
a letter 1980, cosine similarity=0.12

a plus 1930, cosine similarity=0.09
a plus 1940, cosine similarity=0.06
a plus 1950, cosine similarity=0.08
a plus 1960, cosine similarity=0.14
a plus 1970, cosine similarity=0.06
a plus 1980, cosine similarity=0.09

a an 1930, cosine similarity=0.24
a an 1940, cosine similarity=0.24
a an 1950, cosine similarity=0.20
a an 1960, cosine similarity=0.18
a an 1970, cosine similarity=0.22
a an 1980, cosine similarity=0.23

a z 1930, cosine similarity=0.00
a z 1940, cosine similarity=0.01
a z 1950, cosine similarity=-0.00
a z 1960, cosine similarity=0.11
a z 1970, cosine similarity=0.07
a z 1980, cosine similarity=-0.02

a and 1930, cosine similarity=0.01
a and 1940, cosine similarity=0.01
a and 1950, cosine similarity=-0.02
a and 1960, cosine similarity=0.02
a and 1970, cosine similarity=0.06
a and 1980, cosine similarity=-0.02

a apple 1930, cosine similarity=0.12
a apple 1940, cosine similarity=0.06
a apple 1950, cosine similarity=0.00
a apple 1960, cosine similarity=0.08
a apple 1970, cosine similarity=0.07
a apple 1980, cosine similarity=0.06

a great 1930, cosine similarity=0.18
a great 1940, cosine similarity=0.20
a great 1950, cosine similarity=0.15
a great 1960, cosine similarity=0.15
a great 1970, cosine similarity=0.14
a great 1980, cosine similarity=0.05

a one 1930, cosine similarity=0.09
a one 1940, cosine similarity=0.05
a one 1950, cosine similarity=0.17
a one 1960, cosine similarity=0.17
a one 1970, cosine similarity=0.10
a one 1980, cosine similarity=0.16

a word 1930, cosine similarity=0.09
a word 1940, cosine similarity=0.06
a word 1950, cosine similarity=0.12
a word 1960, cosine similarity=0.08
a word 1970, cosine similarity=0.09
a word 1980, cosine similarity=0.17

aardvark animal 1930, cosine similarity=0.00
aardvark animal 1940, cosine similarity=0.00
aardvark animal 1950, cosine similarity=0.00
aardvark animal 1960, cosine similarity=0.00
aardvark animal 1970, cosine similarity=0.00
aardvark animal 1980, cosine similarity=0.00

aardvark ant 1930, cosine similarity=0.00
aardvark ant 1940, cosine similarity=0.00
aardvark ant 1950, cosine similarity=0.00
aardvark ant 1960, cosine similarity=0.00
aardvark ant 1970, cosine similarity=0.00
aardvark ant 1980, cosine similarity=0.00

aardvark anteater 1930, cosine similarity=0.00
aardvark anteater 1940, cosine similarity=0.00
aardvark anteater 1950, cosine similarity=0.00
aardvark anteater 1960, cosine similarity=0.00
aardvark anteater 1970, cosine similarity=0.00
aardvark anteater 1980, cosine similarity=0.00

aardvark pink panther 1930, cosine similarity=0.00
aardvark pink panther 1940, cosine similarity=0.00
aardvark pink panther 1950, cosine similarity=0.00
aardvark pink panther 1960, cosine similarity=0.00
aardvark pink panther 1970, cosine similarity=0.00
aardvark pink panther 1980, cosine similarity=0.00

aardvark music 1930, cosine similarity=0.00
aardvark music 1940, cosine similarity=0.00
aardvark music 1950, cosine similarity=0.00
aardvark music 1960, cosine similarity=0.00
aardvark music 1970, cosine similarity=0.00
aardvark music 1980, cosine similarity=0.00

aardvark nose 1930, cosine similarity=0.00
aardvark nose 1940, cosine similarity=0.00
aardvark nose 1950, cosine similarity=0.00
aardvark nose 1960, cosine similarity=0.00
aardvark nose 1970, cosine similarity=0.00
aardvark nose 1980, cosine similarity=0.00

aardvark ugly 1930, cosine similarity=0.00
aardvark ugly 1940, cosine similarity=0.00
aardvark ugly 1950, cosine similarity=0.00
aardvark ugly 1960, cosine similarity=0.00
aardvark ugly 1970, cosine similarity=0.00
aardvark ugly 1980, cosine similarity=0.00

aardvark confused 1930, cosine similarity=0.00
aardvark confused 1940, cosine similarity=0.00
aardvark confused 1950, cosine similarity=0.00
aardvark confused 1960, cosine similarity=0.00
aardvark confused 1970, cosine similarity=0.00
aardvark confused 1980, cosine similarity=0.00

aardvark dictionary 1930, cosine similarity=0.00
aardvark dictionary 1940, cosine similarity=0.00
aardvark dictionary 1950, cosine similarity=0.00
aardvark dictionary 1960, cosine similarity=0.00
aardvark dictionary 1970, cosine similarity=0.00
aardvark dictionary 1980, cosine similarity=0.00

aardvark fur 1930, cosine similarity=0.00
aardvark fur 1940, cosine similarity=0.00
aardvark fur 1950, cosine similarity=0.00
aardvark fur 1960, cosine similarity=0.00
aardvark fur 1970, cosine similarity=0.00
aardvark fur 1980, cosine similarity=0.00

aardvark road kill 1930, cosine similarity=0.00
aardvark road kill 1940, cosine similarity=0.00
aardvark road kill 1950, cosine similarity=0.00
aardvark road kill 1960, cosine similarity=0.00
aardvark road kill 1970, cosine similarity=0.00
aardvark road kill 1980, cosine similarity=0.00

aardvark shell 1930, cosine similarity=0.00
aardvark shell 1940, cosine similarity=0.00
aardvark shell 1950, cosine similarity=0.00
aardvark shell 1960, cosine similarity=0.00
aardvark shell 1970, cosine similarity=0.00
aardvark shell 1980, cosine similarity=0.00

aardvark zoo 1930, cosine similarity=0.00
aardvark zoo 1940, cosine similarity=0.00
aardvark zoo 1950, cosine similarity=0.00
aardvark zoo 1960, cosine similarity=0.00
aardvark zoo 1970, cosine similarity=0.00
aardvark zoo 1980, cosine similarity=0.00

abdomen stomach 1930, cosine similarity=0.51
abdomen stomach 1940, cosine similarity=0.43
abdomen stomach 1950, cosine similarity=0.41
abdomen stomach 1960, cosine similarity=0.45
abdomen stomach 1970, cosine similarity=0.47
abdomen stomach 1980, cosine similarity=0.48

abdomen body 1930, cosine similarity=0.34
abdomen body 1940, cosine similarity=0.34
abdomen body 1950, cosine similarity=0.29
abdomen body 1960, cosine similarity=0.32
abdomen body 1970, cosine similarity=0.32
abdomen body 1980, cosine similarity=0.38

abdomen muscle 1930, cosine similarity=0.35
abdomen muscle 1940, cosine similarity=0.31
abdomen muscle 1950, cosine similarity=0.33
abdomen muscle 1960, cosine similarity=0.32
abdomen muscle 1970, cosine similarity=0.26
abdomen muscle 1980, cosine similarity=0.32

abdomen sit ups 1930, cosine similarity=0.00
abdomen sit ups 1940, cosine similarity=0.00
abdomen sit ups 1950, cosine similarity=0.00
abdomen sit ups 1960, cosine similarity=0.00
abdomen sit ups 1970, cosine similarity=0.00
abdomen sit ups 1980, cosine similarity=0.00

abdomen organ 1930, cosine similarity=0.22
abdomen organ 1940, cosine similarity=0.22
abdomen organ 1950, cosine similarity=0.20
abdomen organ 1960, cosine similarity=0.17
abdomen organ 1970, cosine similarity=0.13
abdomen organ 1980, cosine similarity=0.23

abdomen pain 1930, cosine similarity=0.34
abdomen pain 1940, cosine similarity=0.43
abdomen pain 1950, cosine similarity=0.40
abdomen pain 1960, cosine similarity=0.40
abdomen pain 1970, cosine similarity=0.39
abdomen pain 1980, cosine similarity=0.38

abdomen belly 1930, cosine similarity=0.44
abdomen belly 1940, cosine similarity=0.40
abdomen belly 1950, cosine similarity=0.43
