cue target 1930, cosine similarity=0.09
cue target 1940, cosine similarity=0.19
cue target 1950, cosine similarity=0.06
cue target 1960, cosine similarity=0.11
cue target 1970, cosine similarity=0.21
cue target 1980, cosine similarity=0.23

cab taxi 1930, cosine similarity=0.67
cab taxi 1940, cosine similarity=0.66
cab taxi 1950, cosine similarity=0.61
cab taxi 1960, cosine similarity=0.61
cab taxi 1970, cosine similarity=0.63
cab taxi 1980, cosine similarity=0.51

cab yellow 1930, cosine similarity=0.09
cab yellow 1940, cosine similarity=0.05
cab yellow 1950, cosine similarity=0.19
cab yellow 1960, cosine similarity=0.17
cab yellow 1970, cosine similarity=0.18
cab yellow 1980, cosine similarity=0.21

cab driver 1930, cosine similarity=0.55
cab driver 1940, cosine similarity=0.49
cab driver 1950, cosine similarity=0.45
cab driver 1960, cosine similarity=0.47
cab driver 1970, cosine similarity=0.44
cab driver 1980, cosine similarity=0.45

cab car 1930, cosine similarity=0.56
cab car 1940, cosine similarity=0.59
cab car 1950, cosine similarity=0.55
cab car 1960, cosine similarity=0.50
cab car 1970, cosine similarity=0.45
cab car 1980, cosine similarity=0.54

cab new york 1930, cosine similarity=0.00
cab new york 1940, cosine similarity=0.00
cab new york 1950, cosine similarity=0.00
cab new york 1960, cosine similarity=0.00
cab new york 1970, cosine similarity=0.00
cab new york 1980, cosine similarity=0.00

cab bus 1930, cosine similarity=0.47
cab bus 1940, cosine similarity=0.52
cab bus 1950, cosine similarity=0.54
cab bus 1960, cosine similarity=0.49
cab bus 1970, cosine similarity=0.51
cab bus 1980, cosine similarity=0.43

cab city 1930, cosine similarity=0.05
cab city 1940, cosine similarity=0.07
cab city 1950, cosine similarity=0.16
cab city 1960, cosine similarity=0.11
cab city 1970, cosine similarity=0.10
cab city 1980, cosine similarity=0.04

cab money 1930, cosine similarity=0.08
cab money 1940, cosine similarity=0.02
cab money 1950, cosine similarity=0.07
cab money 1960, cosine similarity=0.03
cab money 1970, cosine similarity=0.18
cab money 1980, cosine similarity=0.04

cab ride 1930, cosine similarity=0.34
cab ride 1940, cosine similarity=0.43
cab ride 1950, cosine similarity=0.39
cab ride 1960, cosine similarity=0.39
cab ride 1970, cosine similarity=0.34
cab ride 1980, cosine similarity=0.36

cabbage lettuce 1930, cosine similarity=0.60
cabbage lettuce 1940, cosine similarity=0.57
cabbage lettuce 1950, cosine similarity=0.59
cabbage lettuce 1960, cosine similarity=0.51
cabbage lettuce 1970, cosine similarity=0.54
cabbage lettuce 1980, cosine similarity=0.49

cabbage vegetable 1930, cosine similarity=0.31
cabbage vegetable 1940, cosine similarity=0.34
cabbage vegetable 1950, cosine similarity=0.35
cabbage vegetable 1960, cosine similarity=0.34
cabbage vegetable 1970, cosine similarity=0.32
cabbage vegetable 1980, cosine similarity=0.36

cabbage patch 1930, cosine similarity=0.28
cabbage patch 1940, cosine similarity=0.27
cabbage patch 1950, cosine similarity=0.29
cabbage patch 1960, cosine similarity=0.25
cabbage patch 1970, cosine similarity=0.29
cabbage patch 1980, cosine similarity=0.25

cabbage green 1930, cosine similarity=0.34
cabbage green 1940, cosine similarity=0.35
cabbage green 1950, cosine similarity=0.32
cabbage green 1960, cosine similarity=0.29
cabbage green 1970, cosine similarity=0.34
cabbage green 1980, cosine similarity=0.33

cabbage coleslaw 1930, cosine similarity=0.00
cabbage coleslaw 1940, cosine similarity=0.00
cabbage coleslaw 1950, cosine similarity=0.00
cabbage coleslaw 1960, cosine similarity=0.00
cabbage coleslaw 1970, cosine similarity=0.00
cabbage coleslaw 1980, cosine similarity=0.00

cabbage cornbeef 1930, cosine similarity=0.00
cabbage cornbeef 1940, cosine similarity=0.00
cabbage cornbeef 1950, cosine similarity=0.00
cabbage cornbeef 1960, cosine similarity=0.00
cabbage cornbeef 1970, cosine similarity=0.00
cabbage cornbeef 1980, cosine similarity=0.00

cabbage leaf 1930, cosine similarity=0.30
cabbage leaf 1940, cosine similarity=0.32
cabbage leaf 1950, cosine similarity=0.32
cabbage leaf 1960, cosine similarity=0.36
cabbage leaf 1970, cosine similarity=0.30
cabbage leaf 1980, cosine similarity=0.31

cabbage rabbit 1930, cosine similarity=0.20
