foil, wrap 1930 0.3258613876759451
fuzzy, peach 1960 -0.30190354343354964
disbelief, amazement 1930 0.363474480897577
depletion, ozone 1930 0.3063118901998907
fuzzy, fluffy 1960 -0.5362286619828227
drink, coke 1930 0.34358988297908366
fuzzy, warm 1960 -0.33381970733986677
fuzzy, hairy 1960 -0.44033467005417815
dismay, disbelief 1930 0.33393006127091285
emperor, hirohito 1940 0.3063333948606258
earnestness, frankness 1930 -0.34041989751017065
friendly, outgoing 1930 0.3014022169196609
frisk, cop 1960 -0.3108349713529187
fuzzy, soft 1960 -0.3390314227473682
disc, jockey 1930 0.3148630800425827
electron, microscope 1930 0.31826153817432107
display, computer 1940 0.34104776443339335
drug, abuse 1930 0.3262699446156977
freezer, refrigerator 1940 0.3617613703365459
friendliness, caring 1930 0.35356976836397935
fuzzy, eyes 1960 -0.3101520404918312
display, monitor 1930 0.420095083994057
