dad mom 1930, cosine similarity=0.00
dad mom 1940, cosine similarity=0.54
dad mom 1950, cosine similarity=0.52
dad mom 1960, cosine similarity=0.51
dad mom 1970, cosine similarity=0.60
dad mom 1980, cosine similarity=0.76

dad father 1930, cosine similarity=0.24
dad father 1940, cosine similarity=0.32
dad father 1950, cosine similarity=0.30
dad father 1960, cosine similarity=0.33
dad father 1970, cosine similarity=0.42
dad father 1980, cosine similarity=0.44

dad great 1930, cosine similarity=-0.01
dad great 1940, cosine similarity=-0.04
dad great 1950, cosine similarity=-0.03
dad great 1960, cosine similarity=0.02
dad great 1970, cosine similarity=0.09
dad great 1980, cosine similarity=0.10

dad pop 1930, cosine similarity=0.14
dad pop 1940, cosine similarity=0.26
dad pop 1950, cosine similarity=0.25
dad pop 1960, cosine similarity=0.14
dad pop 1970, cosine similarity=0.23
dad pop 1980, cosine similarity=0.22

dad tall 1930, cosine similarity=0.04
dad tall 1940, cosine similarity=0.04
dad tall 1950, cosine similarity=0.07
dad tall 1960, cosine similarity=0.09
dad tall 1970, cosine similarity=0.08
dad tall 1980, cosine similarity=0.14

dagger knife 1930, cosine similarity=0.51
dagger knife 1940, cosine similarity=0.55
dagger knife 1950, cosine similarity=0.61
dagger knife 1960, cosine similarity=0.54
dagger knife 1970, cosine similarity=0.54
dagger knife 1980, cosine similarity=0.46

dagger sword 1930, cosine similarity=0.52
dagger sword 1940, cosine similarity=0.53
dagger sword 1950, cosine similarity=0.47
dagger sword 1960, cosine similarity=0.46
dagger sword 1970, cosine similarity=0.52
dagger sword 1980, cosine similarity=0.52

dagger cloak 1930, cosine similarity=0.30
dagger cloak 1940, cosine similarity=0.36
dagger cloak 1950, cosine similarity=0.37
dagger cloak 1960, cosine similarity=0.39
dagger cloak 1970, cosine similarity=0.39
dagger cloak 1980, cosine similarity=0.38

dagger stab 1930, cosine similarity=0.35
dagger stab 1940, cosine similarity=0.38
dagger stab 1950, cosine similarity=0.38
dagger stab 1960, cosine similarity=0.32
dagger stab 1970, cosine similarity=0.33
dagger stab 1980, cosine similarity=0.27

dagger kill 1930, cosine similarity=0.21
dagger kill 1940, cosine similarity=0.25
dagger kill 1950, cosine similarity=0.25
dagger kill 1960, cosine similarity=0.24
dagger kill 1970, cosine similarity=0.18
dagger kill 1980, cosine similarity=0.14

dagger blade 1930, cosine similarity=0.40
dagger blade 1940, cosine similarity=0.35
dagger blade 1950, cosine similarity=0.44
dagger blade 1960, cosine similarity=0.38
dagger blade 1970, cosine similarity=0.44
dagger blade 1980, cosine similarity=0.41

dagger blood 1930, cosine similarity=0.12
dagger blood 1940, cosine similarity=0.09
dagger blood 1950, cosine similarity=0.15
dagger blood 1960, cosine similarity=0.13
dagger blood 1970, cosine similarity=0.10
dagger blood 1980, cosine similarity=0.09

dagger fight 1930, cosine similarity=0.11
dagger fight 1940, cosine similarity=0.12
dagger fight 1950, cosine similarity=0.10
dagger fight 1960, cosine similarity=0.15
dagger fight 1970, cosine similarity=0.11
dagger fight 1980, cosine similarity=0.09

dagger murder 1930, cosine similarity=0.13
dagger murder 1940, cosine similarity=0.10
dagger murder 1950, cosine similarity=0.21
dagger murder 1960, cosine similarity=0.17
dagger murder 1970, cosine similarity=0.14
dagger murder 1980, cosine similarity=0.07

dagger weapon 1930, cosine similarity=0.34
dagger weapon 1940, cosine similarity=0.30
dagger weapon 1950, cosine similarity=0.35
dagger weapon 1960, cosine similarity=0.33
dagger weapon 1970, cosine similarity=0.32
dagger weapon 1980, cosine similarity=0.23

daily news 1930, cosine similarity=0.33
daily news 1940, cosine similarity=0.28
daily news 1950, cosine similarity=0.28
daily news 1960, cosine similarity=0.31
daily news 1970, cosine similarity=0.26
daily news 1980, cosine similarity=0.30

daily routine 1930, cosine similarity=0.36
daily routine 1940, cosine similarity=0.33
daily routine 1950, cosine similarity=0.31
daily routine 1960, cosine similarity=0.34
daily routine 1970, cosine similarity=0.36
daily routine 1980, cosine similarity=0.31

daily weekly 1930, cosine similarity=0.46
daily weekly 1940, cosine similarity=0.50
daily weekly 1950, cosine similarity=0.52
daily weekly 1960, cosine similarity=0.50
daily weekly 1970, cosine similarity=0.44
daily weekly 1980, cosine similarity=0.46

daily everyday 1930, cosine similarity=0.38
daily everyday 1940, cosine similarity=0.39
daily everyday 1950, cosine similarity=0.40
daily everyday 1960, cosine similarity=0.41
daily everyday 1970, cosine similarity=0.44
daily everyday 1980, cosine similarity=0.39

daily newspaper 1930, cosine similarity=0.37
daily newspaper 1940, cosine similarity=0.35
daily newspaper 1950, cosine similarity=0.37
daily newspaper 1960, cosine similarity=0.36
daily newspaper 1970, cosine similarity=0.35
daily newspaper 1980, cosine similarity=0.35

daily always 1930, cosine similarity=-0.12
daily always 1940, cosine similarity=-0.05
daily always 1950, cosine similarity=-0.04
daily always 1960, cosine similarity=-0.03
daily always 1970, cosine similarity=0.01
daily always 1980, cosine similarity=0.00

daily paper 1930, cosine similarity=0.20
daily paper 1940, cosine similarity=0.16
daily paper 1950, cosine similarity=0.14
