gag choke 1930, cosine similarity=0.18
gag choke 1940, cosine similarity=0.12
gag choke 1950, cosine similarity=0.06
gag choke 1960, cosine similarity=0.10
gag choke 1970, cosine similarity=0.18
gag choke 1980, cosine similarity=0.21

gag joke 1930, cosine similarity=0.03
gag joke 1940, cosine similarity=-0.00
gag joke 1950, cosine similarity=0.12
gag joke 1960, cosine similarity=0.01
gag joke 1970, cosine similarity=0.07
gag joke 1980, cosine similarity=0.03

gag gift 1930, cosine similarity=-0.05
gag gift 1940, cosine similarity=-0.04
gag gift 1950, cosine similarity=0.09
gag gift 1960, cosine similarity=0.01
gag gift 1970, cosine similarity=0.02
gag gift 1980, cosine similarity=0.07

gag mouth 1930, cosine similarity=0.24
gag mouth 1940, cosine similarity=0.24
gag mouth 1950, cosine similarity=0.25
gag mouth 1960, cosine similarity=0.21
gag mouth 1970, cosine similarity=0.20
gag mouth 1980, cosine similarity=0.18

gag throw-up 1930, cosine similarity=0.00
gag throw-up 1940, cosine similarity=0.00
gag throw-up 1950, cosine similarity=0.00
gag throw-up 1960, cosine similarity=0.00
gag throw-up 1970, cosine similarity=0.00
gag throw-up 1980, cosine similarity=0.00

gag funny 1930, cosine similarity=0.09
gag funny 1940, cosine similarity=0.12
gag funny 1950, cosine similarity=0.08
gag funny 1960, cosine similarity=0.11
gag funny 1970, cosine similarity=0.04
gag funny 1980, cosine similarity=0.02

gag puke 1930, cosine similarity=0.00
gag puke 1940, cosine similarity=0.00
gag puke 1950, cosine similarity=0.00
gag puke 1960, cosine similarity=0.00
gag puke 1970, cosine similarity=0.00
gag puke 1980, cosine similarity=0.06

gag barf 1930, cosine similarity=0.00
gag barf 1940, cosine similarity=0.00
gag barf 1950, cosine similarity=0.00
gag barf 1960, cosine similarity=0.00
gag barf 1970, cosine similarity=0.00
gag barf 1980, cosine similarity=0.00

gag laugh 1930, cosine similarity=-0.02
gag laugh 1940, cosine similarity=0.03
gag laugh 1950, cosine similarity=0.08
gag laugh 1960, cosine similarity=0.10
gag laugh 1970, cosine similarity=0.07
gag laugh 1980, cosine similarity=0.07

gag prank 1930, cosine similarity=0.00
gag prank 1940, cosine similarity=0.00
gag prank 1950, cosine similarity=0.00
gag prank 1960, cosine similarity=0.00
gag prank 1970, cosine similarity=0.18
gag prank 1980, cosine similarity=0.15

gag vomit 1930, cosine similarity=0.08
gag vomit 1940, cosine similarity=0.06
gag vomit 1950, cosine similarity=0.10
gag vomit 1960, cosine similarity=0.11
gag vomit 1970, cosine similarity=0.11
gag vomit 1980, cosine similarity=0.20

gag gross 1930, cosine similarity=0.01
gag gross 1940, cosine similarity=-0.09
gag gross 1950, cosine similarity=0.04
gag gross 1960, cosine similarity=-0.09
gag gross 1970, cosine similarity=0.03
gag gross 1980, cosine similarity=0.02

gag kill 1930, cosine similarity=0.05
gag kill 1940, cosine similarity=0.14
gag kill 1950, cosine similarity=0.12
gag kill 1960, cosine similarity=0.02
gag kill 1970, cosine similarity=0.10
gag kill 1980, cosine similarity=0.18

gag silence 1930, cosine similarity=0.09
gag silence 1940, cosine similarity=0.06
gag silence 1950, cosine similarity=0.09
gag silence 1960, cosine similarity=0.14
gag silence 1970, cosine similarity=0.04
gag silence 1980, cosine similarity=0.01

gag spoon 1930, cosine similarity=0.03
gag spoon 1940, cosine similarity=0.21
gag spoon 1950, cosine similarity=0.27
gag spoon 1960, cosine similarity=0.11
gag spoon 1970, cosine similarity=0.00
gag spoon 1980, cosine similarity=0.21

gag stop 1930, cosine similarity=0.09
gag stop 1940, cosine similarity=0.09
gag stop 1950, cosine similarity=0.05
gag stop 1960, cosine similarity=0.05
gag stop 1970, cosine similarity=0.02
gag stop 1980, cosine similarity=0.09

gag tie 1930, cosine similarity=0.15
gag tie 1940, cosine similarity=0.13
gag tie 1950, cosine similarity=0.17
gag tie 1960, cosine similarity=0.12
gag tie 1970, cosine similarity=0.11
gag tie 1980, cosine similarity=0.15

gain lose 1930, cosine similarity=0.42
gain lose 1940, cosine similarity=0.43
gain lose 1950, cosine similarity=0.43
gain lose 1960, cosine similarity=0.45
gain lose 1970, cosine similarity=0.39
gain lose 1980, cosine similarity=0.37

gain weight 1930, cosine similarity=0.18
gain weight 1940, cosine similarity=0.20
gain weight 1950, cosine similarity=0.19
gain weight 1960, cosine similarity=0.16
gain weight 1970, cosine similarity=0.23
gain weight 1980, cosine similarity=0.23

gain fat 1930, cosine similarity=0.06
gain fat 1940, cosine similarity=0.01
gain fat 1950, cosine similarity=0.03
gain fat 1960, cosine similarity=0.03
gain fat 1970, cosine similarity=0.13
gain fat 1980, cosine similarity=0.13

gain loss 1930, cosine similarity=0.40
gain loss 1940, cosine similarity=0.44
gain loss 1950, cosine similarity=0.46
gain loss 1960, cosine similarity=0.37
gain loss 1970, cosine similarity=0.41
gain loss 1980, cosine similarity=0.43

gain more 1930, cosine similarity=0.19
gain more 1940, cosine similarity=0.15
gain more 1950, cosine similarity=0.13
gain more 1960, cosine similarity=0.08
gain more 1970, cosine similarity=0.22
gain more 1980, cosine similarity=0.13

gain add 1930, cosine similarity=0.10
gain add 1940, cosine similarity=0.13
gain add 1950, cosine similarity=0.07
gain add 1960, cosine similarity=0.07
gain add 1970, cosine similarity=0.10
gain add 1980, cosine similarity=0.05

gain get 1930, cosine similarity=0.33
gain get 1940, cosine similarity=0.19
gain get 1950, cosine similarity=0.20
gain get 1960, cosine similarity=0.25
gain get 1970, cosine similarity=0.26
gain get 1980, cosine similarity=0.19

gain achieve 1930, cosine similarity=0.36
gain achieve 1940, cosine similarity=0.32
gain achieve 1950, cosine similarity=0.31
gain achieve 1960, cosine similarity=0.33
gain achieve 1970, cosine similarity=0.34
gain achieve 1980, cosine similarity=0.33

gain acquire 1930, cosine similarity=0.39
gain acquire 1940, cosine similarity=0.36
gain acquire 1950, cosine similarity=0.29
gain acquire 1960, cosine similarity=0.35
gain acquire 1970, cosine similarity=0.32
gain acquire 1980, cosine similarity=0.29

gain profit 1930, cosine similarity=0.44
gain profit 1940, cosine similarity=0.42
gain profit 1950, cosine similarity=0.38
gain profit 1960, cosine similarity=0.38
gain profit 1970, cosine similarity=0.36
gain profit 1980, cosine similarity=0.41

gal girl 1930, cosine similarity=0.21
gal girl 1940, cosine similarity=0.19
gal girl 1950, cosine similarity=0.15
gal girl 1960, cosine similarity=0.05
gal girl 1970, cosine similarity=0.19
gal girl 1980, cosine similarity=0.12

gal guy 1930, cosine similarity=0.14
gal guy 1940, cosine similarity=0.14
gal guy 1950, cosine similarity=0.17
gal guy 1960, cosine similarity=0.18
gal guy 1970, cosine similarity=0.21
gal guy 1980, cosine similarity=0.14

gal woman 1930, cosine similarity=0.06
gal woman 1940, cosine similarity=0.15
gal woman 1950, cosine similarity=0.06
gal woman 1960, cosine similarity=0.05
gal woman 1970, cosine similarity=0.09
gal woman 1980, cosine similarity=0.04

gal chick 1930, cosine similarity=0.16
gal chick 1940, cosine similarity=0.14
gal chick 1950, cosine similarity=0.11
gal chick 1960, cosine similarity=0.11
gal chick 1970, cosine similarity=0.12
gal chick 1980, cosine similarity=0.09

gal gallon 1930, cosine similarity=0.21
gal gallon 1940, cosine similarity=0.28
gal gallon 1950, cosine similarity=0.27
gal gallon 1960, cosine similarity=0.29
gal gallon 1970, cosine similarity=0.27
gal gallon 1980, cosine similarity=0.36

gal pal 1930, cosine similarity=0.12
gal pal 1940, cosine similarity=0.09
gal pal 1950, cosine similarity=0.04
gal pal 1960, cosine similarity=0.09
gal pal 1970, cosine similarity=0.12
gal pal 1980, cosine similarity=0.11

gal boy 1930, cosine similarity=0.22
gal boy 1940, cosine similarity=0.20
gal boy 1950, cosine similarity=0.18
gal boy 1960, cosine similarity=0.10
gal boy 1970, cosine similarity=0.19
gal boy 1980, cosine similarity=0.14

gal country 1930, cosine similarity=-0.13
gal country 1940, cosine similarity=-0.09
gal country 1950, cosine similarity=-0.03
gal country 1960, cosine similarity=-0.07
gal country 1970, cosine similarity=-0.02
gal country 1980, cosine similarity=-0.04

gal lady 1930, cosine similarity=0.02
gal lady 1940, cosine similarity=0.16
gal lady 1950, cosine similarity=0.03
gal lady 1960, cosine similarity=-0.02
gal lady 1970, cosine similarity=0.07
gal lady 1980, cosine similarity=0.10

gal nerve 1930, cosine similarity=0.00
gal nerve 1940, cosine similarity=-0.02
gal nerve 1950, cosine similarity=-0.05
gal nerve 1960, cosine similarity=0.04
gal nerve 1970, cosine similarity=0.04
gal nerve 1980, cosine similarity=-0.05

gal person 1930, cosine similarity=-0.07
gal person 1940, cosine similarity=-0.01
gal person 1950, cosine similarity=0.04
gal person 1960, cosine similarity=-0.03
gal person 1970, cosine similarity=0.01
gal person 1980, cosine similarity=-0.03

gal seagull 1930, cosine similarity=0.00
gal seagull 1940, cosine similarity=0.00
gal seagull 1950, cosine similarity=0.00
gal seagull 1960, cosine similarity=0.00
gal seagull 1970, cosine similarity=0.19
gal seagull 1980, cosine similarity=0.22

galaxy stars 1930, cosine similarity=0.35
galaxy stars 1940, cosine similarity=0.41
galaxy stars 1950, cosine similarity=0.39
galaxy stars 1960, cosine similarity=0.41
galaxy stars 1970, cosine similarity=0.46
galaxy stars 1980, cosine similarity=0.49

galaxy universe 1930, cosine similarity=0.26
galaxy universe 1940, cosine similarity=0.23
galaxy universe 1950, cosine similarity=0.27
galaxy universe 1960, cosine similarity=0.27
galaxy universe 1970, cosine similarity=0.39
galaxy universe 1980, cosine similarity=0.39

galaxy space 1930, cosine similarity=0.20
galaxy space 1940, cosine similarity=0.13
galaxy space 1950, cosine similarity=0.17
galaxy space 1960, cosine similarity=0.23
galaxy space 1970, cosine similarity=0.20
galaxy space 1980, cosine similarity=0.24

galaxy planets 1930, cosine similarity=0.27
galaxy planets 1940, cosine similarity=0.34
galaxy planets 1950, cosine similarity=0.35
galaxy planets 1960, cosine similarity=0.34
galaxy planets 1970, cosine similarity=0.41
galaxy planets 1980, cosine similarity=0.47

galaxy milky way 1930, cosine similarity=0.00
galaxy milky way 1940, cosine similarity=0.00
galaxy milky way 1950, cosine similarity=0.00
galaxy milky way 1960, cosine similarity=0.00
galaxy milky way 1970, cosine similarity=0.00
galaxy milky way 1980, cosine similarity=0.00

galaxy infinity 1930, cosine similarity=0.13
galaxy infinity 1940, cosine similarity=0.09
galaxy infinity 1950, cosine similarity=0.14
galaxy infinity 1960, cosine similarity=0.20
galaxy infinity 1970, cosine similarity=0.15
galaxy infinity 1980, cosine similarity=0.16

galaxy far 1930, cosine similarity=-0.02
galaxy far 1940, cosine similarity=0.08
galaxy far 1950, cosine similarity=0.12
galaxy far 1960, cosine similarity=0.06
galaxy far 1970, cosine similarity=0.10
galaxy far 1980, cosine similarity=0.21

galaxy immense 1930, cosine similarity=0.14
galaxy immense 1940, cosine similarity=0.15
galaxy immense 1950, cosine similarity=0.11
galaxy immense 1960, cosine similarity=0.08
galaxy immense 1970, cosine similarity=0.07
galaxy immense 1980, cosine similarity=0.08

galaxy solar system 1930, cosine similarity=0.00
galaxy solar system 1940, cosine similarity=0.00
galaxy solar system 1950, cosine similarity=0.00
galaxy solar system 1960, cosine similarity=0.00
galaxy solar system 1970, cosine similarity=0.00
galaxy solar system 1980, cosine similarity=0.00

galaxy star wars 1930, cosine similarity=0.00
galaxy star wars 1940, cosine similarity=0.00
galaxy star wars 1950, cosine similarity=0.00
galaxy star wars 1960, cosine similarity=0.00
galaxy star wars 1970, cosine similarity=0.00
galaxy star wars 1980, cosine similarity=0.00

galaxy mars 1930, cosine similarity=0.23
galaxy mars 1940, cosine similarity=0.14
galaxy mars 1950, cosine similarity=0.22
galaxy mars 1960, cosine similarity=0.24
galaxy mars 1970, cosine similarity=0.24
galaxy mars 1980, cosine similarity=0.28

galaxy science 1930, cosine similarity=0.05
galaxy science 1940, cosine similarity=0.03
galaxy science 1950, cosine similarity=0.04
galaxy science 1960, cosine similarity=0.05
galaxy science 1970, cosine similarity=0.07
galaxy science 1980, cosine similarity=0.12

