gazelle, zebra 1960 -0.3150474265937491
gender, sex 1930 0.45841552354234355
information, system 1930 0.3196188530330844
jeans, shorts 1930 0.4187161808525863
ivy, league 1930 0.3189180405378913
garlic, onion 1930 0.35067245800123287
highlight, underline 1940 0.3326102903357308
hostage, lebanon 1930 0.3054552028263756
interesting, intriguing 1930 0.4258679812638816
highlight, show 1940 0.3025443418643159
jeans, shirt 1930 0.4022560988128647
jazz, rock 1930 0.3382890258946596
jeans, pants 1930 0.44171053404139937
hairy, fuzzy 1960 -0.44033467005417815
garlic, clove 1930 0.3284063782558525
grandma, grandpa 1960 -0.4649822103790683
gene, dna 1950 0.30777155860539673
integrate, incorporate 1930 0.3307683041495356
highlight, emphasize 1940 0.36782472291574325
grandpa, grandma 1960 -0.4649822103790683
haystack, pile 1930 -0.30899598509339843
hostage, crisis 1930 0.30049766653545007
gender, race 1930 0.3035215318402399
