mussel, seafood 1960 -0.37228201085621915
nuclear, weapon 1930 0.43059428728420224
outgoing, friendly 1930 0.3014022169196609
magazine, playboy 1940 0.3458734681258482
overview, summary 1940 0.3331378156316331
ozone, depletion 1930 0.3063118901998907
outcome, overall 1930 0.38413791925233126
medication, drugs 1940 0.3311181209032691
onion, garlic 1930 0.35067245800123287
noodles, macaroni 1960 -0.47951123638159987
nucleus, nuclear 1930 -0.3526427194943838
okay, sure 1930 0.45153573081180154
microscope, electron 1930 0.31826153817432107
league, ivy 1930 0.3189180405378913
noodles, spaghetti 1960 -0.5188104852828119
macaroni, noodles 1960 -0.47951123638159987
