cue target 1930, cosine similarity=0.09
cue target 1940, cosine similarity=0.19
cue target 1950, cosine similarity=0.06
cue target 1960, cosine similarity=0.11
cue target 1970, cosine similarity=0.21
cue target 1980, cosine similarity=0.23

pack back 1930, cosine similarity=0.23
pack back 1940, cosine similarity=0.23
pack back 1950, cosine similarity=0.29
pack back 1960, cosine similarity=0.23
pack back 1970, cosine similarity=0.26
pack back 1980, cosine similarity=0.27

pack suitcase 1930, cosine similarity=0.27
pack suitcase 1940, cosine similarity=0.28
pack suitcase 1950, cosine similarity=0.30
pack suitcase 1960, cosine similarity=0.30
pack suitcase 1970, cosine similarity=0.30
pack suitcase 1980, cosine similarity=0.35

pack bag 1930, cosine similarity=0.39
pack bag 1940, cosine similarity=0.42
pack bag 1950, cosine similarity=0.42
pack bag 1960, cosine similarity=0.44
pack bag 1970, cosine similarity=0.40
pack bag 1980, cosine similarity=0.38

pack leave 1930, cosine similarity=0.17
pack leave 1940, cosine similarity=0.17
pack leave 1950, cosine similarity=0.20
pack leave 1960, cosine similarity=0.20
pack leave 1970, cosine similarity=0.22
pack leave 1980, cosine similarity=0.24

pack trip 1930, cosine similarity=0.16
pack trip 1940, cosine similarity=0.21
pack trip 1950, cosine similarity=0.26
pack trip 1960, cosine similarity=0.22
pack trip 1970, cosine similarity=0.24
pack trip 1980, cosine similarity=0.30

pack six 1930, cosine similarity=0.13
pack six 1940, cosine similarity=0.07
pack six 1950, cosine similarity=0.09
pack six 1960, cosine similarity=0.15
pack six 1970, cosine similarity=0.16
pack six 1980, cosine similarity=0.20

pack stuff 1930, cosine similarity=0.24
pack stuff 1940, cosine similarity=0.18
pack stuff 1950, cosine similarity=0.25
pack stuff 1960, cosine similarity=0.21
pack stuff 1970, cosine similarity=0.23
pack stuff 1980, cosine similarity=0.27

pack luggage 1930, cosine similarity=0.32
pack luggage 1940, cosine similarity=0.29
pack luggage 1950, cosine similarity=0.35
pack luggage 1960, cosine similarity=0.30
pack luggage 1970, cosine similarity=0.22
pack luggage 1980, cosine similarity=0.26

pack lunch 1930, cosine similarity=0.20
pack lunch 1940, cosine similarity=0.21
pack lunch 1950, cosine similarity=0.24
pack lunch 1960, cosine similarity=0.29
pack lunch 1970, cosine similarity=0.26
pack lunch 1980, cosine similarity=0.27

pack rat 1930, cosine similarity=0.13
pack rat 1940, cosine similarity=0.18
pack rat 1950, cosine similarity=0.19
pack rat 1960, cosine similarity=0.17
pack rat 1970, cosine similarity=0.11
pack rat 1980, cosine similarity=0.10

pack stack 1930, cosine similarity=0.10
pack stack 1940, cosine similarity=0.22
pack stack 1950, cosine similarity=0.17
pack stack 1960, cosine similarity=0.24
pack stack 1970, cosine similarity=0.18
pack stack 1980, cosine similarity=0.28

pack box 1930, cosine similarity=0.27
pack box 1940, cosine similarity=0.34
pack box 1950, cosine similarity=0.19
pack box 1960, cosine similarity=0.19
pack box 1970, cosine similarity=0.17
pack box 1980, cosine similarity=0.12

pack clothes 1930, cosine similarity=0.16
pack clothes 1940, cosine similarity=0.28
pack clothes 1950, cosine similarity=0.24
pack clothes 1960, cosine similarity=0.21
pack clothes 1970, cosine similarity=0.19
pack clothes 1980, cosine similarity=0.25

pack move 1930, cosine similarity=0.18
pack move 1940, cosine similarity=0.21
pack move 1950, cosine similarity=0.13
pack move 1960, cosine similarity=0.16
pack move 1970, cosine similarity=0.18
pack move 1980, cosine similarity=0.19

pack save 1930, cosine similarity=0.00
pack save 1940, cosine similarity=0.07
pack save 1950, cosine similarity=0.05
pack save 1960, cosine similarity=0.08
pack save 1970, cosine similarity=0.12
pack save 1980, cosine similarity=0.15

pack up 1930, cosine similarity=0.25
pack up 1940, cosine similarity=0.23
pack up 1950, cosine similarity=0.17
pack up 1960, cosine similarity=0.22
pack up 1970, cosine similarity=0.25
pack up 1980, cosine similarity=0.28

pack vacation 1930, cosine similarity=0.00
pack vacation 1940, cosine similarity=0.09
pack vacation 1950, cosine similarity=0.10
pack vacation 1960, cosine similarity=0.15
pack vacation 1970, cosine similarity=0.12
pack vacation 1980, cosine similarity=0.24

pack carry 1930, cosine similarity=0.20
pack carry 1940, cosine similarity=0.20
