pile, haystack 1930 -0.30899598509339843
plastic, bottle 1930 0.308026101545863
reason, rationale 1930 0.3394522162404847
plastic, wrap 1930 0.41811722492255576
participate, interact 1930 0.34925716321445666
refrigerator, freezer 1940 0.3617613703365459
president, bush 1930 0.3594106041150557
radio, tape 1930 0.34917485975353657
plush, fluffy 1960 -0.3589773528860364
peer, group 1930 0.36338549082398347
pants, jeans 1930 0.44171053404139937
reel, tape 1930 0.308599698894001
robot, computer 1960 0.43118267704703944
peer, adult 1930 0.3336235713197999
rash, hives 1930 0.35271529592048123
