tab soda 1930, cosine similarity=0.00
tab soda 1940, cosine similarity=0.00
tab soda 1950, cosine similarity=0.18
tab soda 1960, cosine similarity=0.01
tab soda 1970, cosine similarity=0.03
tab soda 1980, cosine similarity=0.06

tab bill 1930, cosine similarity=0.00
tab bill 1940, cosine similarity=0.00
tab bill 1950, cosine similarity=0.03
tab bill 1960, cosine similarity=0.02
tab bill 1970, cosine similarity=0.04
tab bill 1980, cosine similarity=0.07

tab coke 1930, cosine similarity=0.00
tab coke 1940, cosine similarity=0.00
tab coke 1950, cosine similarity=0.04
tab coke 1960, cosine similarity=-0.06
tab coke 1970, cosine similarity=0.06
tab coke 1980, cosine similarity=0.07

tab drink 1930, cosine similarity=0.00
tab drink 1940, cosine similarity=0.00
tab drink 1950, cosine similarity=0.12
tab drink 1960, cosine similarity=-0.05
tab drink 1970, cosine similarity=0.02
tab drink 1980, cosine similarity=0.01

tab can 1930, cosine similarity=0.00
tab can 1940, cosine similarity=0.00
tab can 1950, cosine similarity=0.00
tab can 1960, cosine similarity=0.04
tab can 1970, cosine similarity=0.01
tab can 1980, cosine similarity=0.04

tab cola 1930, cosine similarity=0.00
tab cola 1940, cosine similarity=0.00
tab cola 1950, cosine similarity=0.09
tab cola 1960, cosine similarity=-0.04
tab cola 1970, cosine similarity=0.07
tab cola 1980, cosine similarity=0.05

tab bar 1930, cosine similarity=0.00
tab bar 1940, cosine similarity=0.00
tab bar 1950, cosine similarity=0.09
tab bar 1960, cosine similarity=0.00
tab bar 1970, cosine similarity=-0.03
tab bar 1980, cosine similarity=0.12

tab money 1930, cosine similarity=0.00
tab money 1940, cosine similarity=0.00
tab money 1950, cosine similarity=0.10
tab money 1960, cosine similarity=0.10
tab money 1970, cosine similarity=-0.02
tab money 1980, cosine similarity=0.03

tab pull 1930, cosine similarity=0.00
tab pull 1940, cosine similarity=0.00
tab pull 1950, cosine similarity=0.12
tab pull 1960, cosine similarity=0.03
tab pull 1970, cosine similarity=-0.01
tab pull 1980, cosine similarity=0.12

tab typewriter 1930, cosine similarity=0.00
tab typewriter 1940, cosine similarity=0.00
tab typewriter 1950, cosine similarity=0.20
tab typewriter 1960, cosine similarity=0.17
tab typewriter 1970, cosine similarity=0.21
tab typewriter 1980, cosine similarity=0.27

tab beer 1930, cosine similarity=0.00
tab beer 1940, cosine similarity=0.00
tab beer 1950, cosine similarity=0.10
tab beer 1960, cosine similarity=-0.02
tab beer 1970, cosine similarity=0.00
tab beer 1980, cosine similarity=-0.01

tab book 1930, cosine similarity=0.00
tab book 1940, cosine similarity=0.00
tab book 1950, cosine similarity=0.09
tab book 1960, cosine similarity=0.05
tab book 1970, cosine similarity=0.09
tab book 1980, cosine similarity=0.15

tab check 1930, cosine similarity=0.00
tab check 1940, cosine similarity=0.00
tab check 1950, cosine similarity=0.09
tab check 1960, cosine similarity=0.09
tab check 1970, cosine similarity=0.07
tab check 1980, cosine similarity=0.21

tab pop 1930, cosine similarity=0.00
tab pop 1940, cosine similarity=0.00
tab pop 1950, cosine similarity=0.17
tab pop 1960, cosine similarity=0.09
tab pop 1970, cosine similarity=0.17
tab pop 1980, cosine similarity=0.17

tab total 1930, cosine similarity=0.00
tab total 1940, cosine similarity=0.00
tab total 1950, cosine similarity=-0.07
tab total 1960, cosine similarity=0.02
tab total 1970, cosine similarity=-0.05
tab total 1980, cosine similarity=0.04

tab water 1930, cosine similarity=0.00
tab water 1940, cosine similarity=0.00
tab water 1950, cosine similarity=0.09
tab water 1960, cosine similarity=0.06
tab water 1970, cosine similarity=0.00
tab water 1980, cosine similarity=0.05

table chair 1930, cosine similarity=0.38
table chair 1940, cosine similarity=0.35
table chair 1950, cosine similarity=0.29
table chair 1960, cosine similarity=0.29
table chair 1970, cosine similarity=0.27
table chair 1980, cosine similarity=0.36

table cloth 1930, cosine similarity=0.18
