weather tornado 1900, cosine similarity=0.08
weather tornado 1910, cosine similarity=0.08
weather tornado 1920, cosine similarity=0.14
weather tornado 1930, cosine similarity=0.09
weather tornado 1940, cosine similarity=0.08
weather tornado 1950, cosine similarity=-0.00
weather tornado 1960, cosine similarity=0.07
weather tornado 1970, cosine similarity=0.04
weather tornado 1980, cosine similarity=0.10
weather tornado 1990, cosine similarity=0.15

weather sleet 1900, cosine similarity=0.25
weather sleet 1910, cosine similarity=0.23
weather sleet 1920, cosine similarity=0.20
weather sleet 1930, cosine similarity=0.14
weather sleet 1940, cosine similarity=0.28
weather sleet 1950, cosine similarity=0.21
weather sleet 1960, cosine similarity=0.21
weather sleet 1970, cosine similarity=0.17
weather sleet 1980, cosine similarity=0.27
weather sleet 1990, cosine similarity=0.18

weather cereal 1900, cosine similarity=0.02
weather cereal 1910, cosine similarity=0.10
weather cereal 1920, cosine similarity=0.04
weather cereal 1930, cosine similarity=0.06
weather cereal 1940, cosine similarity=0.13
weather cereal 1950, cosine similarity=0.06
weather cereal 1960, cosine similarity=0.05
weather cereal 1970, cosine similarity=0.03
weather cereal 1980, cosine similarity=-0.04
weather cereal 1990, cosine similarity=-0.04

shape circle 1900, cosine similarity=0.10
shape circle 1910, cosine similarity=0.11
shape circle 1920, cosine similarity=0.12
shape circle 1930, cosine similarity=0.16
shape circle 1940, cosine similarity=0.14
shape circle 1950, cosine similarity=0.11
shape circle 1960, cosine similarity=0.12
shape circle 1970, cosine similarity=0.11
shape circle 1980, cosine similarity=0.20
shape circle 1990, cosine similarity=0.12

shape oval 1900, cosine similarity=0.47
shape oval 1910, cosine similarity=0.40
shape oval 1920, cosine similarity=0.42
shape oval 1930, cosine similarity=0.40
shape oval 1940, cosine similarity=0.41
shape oval 1950, cosine similarity=0.35
shape oval 1960, cosine similarity=0.42
shape oval 1970, cosine similarity=0.38
shape oval 1980, cosine similarity=0.33
shape oval 1990, cosine similarity=0.31

shape capes 1900, cosine similarity=-0.04
shape capes 1910, cosine similarity=0.04
shape capes 1920, cosine similarity=0.01
shape capes 1930, cosine similarity=0.05
shape capes 1940, cosine similarity=0.00
shape capes 1950, cosine similarity=-0.03
shape capes 1960, cosine similarity=-0.08
shape capes 1970, cosine similarity=-0.02
shape capes 1980, cosine similarity=0.06
shape capes 1990, cosine similarity=-0.01

meat pork 1900, cosine similarity=0.54
meat pork 1910, cosine similarity=0.63
meat pork 1920, cosine similarity=0.58
meat pork 1930, cosine similarity=0.56
meat pork 1940, cosine similarity=0.57
meat pork 1950, cosine similarity=0.53
meat pork 1960, cosine similarity=0.55
meat pork 1970, cosine similarity=0.54
meat pork 1980, cosine similarity=0.57
meat pork 1990, cosine similarity=0.57

meat veal 1900, cosine similarity=0.30
meat veal 1910, cosine similarity=0.34
meat veal 1920, cosine similarity=0.33
meat veal 1930, cosine similarity=0.32
meat veal 1940, cosine similarity=0.40
meat veal 1950, cosine similarity=0.35
meat veal 1960, cosine similarity=0.33
meat veal 1970, cosine similarity=0.43
meat veal 1980, cosine similarity=0.50
meat veal 1990, cosine similarity=0.44

meat pulp 1900, cosine similarity=0.25
meat pulp 1910, cosine similarity=0.24
meat pulp 1920, cosine similarity=0.21
meat pulp 1930, cosine similarity=0.23
meat pulp 1940, cosine similarity=0.26
meat pulp 1950, cosine similarity=0.23
meat pulp 1960, cosine similarity=0.26
meat pulp 1970, cosine similarity=0.30
meat pulp 1980, cosine similarity=0.32
meat pulp 1990, cosine similarity=0.23

meat beef 1900, cosine similarity=0.63
meat beef 1910, cosine similarity=0.61
meat beef 1920, cosine similarity=0.61
meat beef 1930, cosine similarity=0.63
meat beef 1940, cosine similarity=0.61
meat beef 1950, cosine similarity=0.61
meat beef 1960, cosine similarity=0.60
meat beef 1970, cosine similarity=0.56
meat beef 1980, cosine similarity=0.62
meat beef 1990, cosine similarity=0.63

meat duck 1900, cosine similarity=0.18
meat duck 1910, cosine similarity=0.18
meat duck 1920, cosine similarity=0.23
meat duck 1930, cosine similarity=0.19
meat duck 1940, cosine similarity=0.20
meat duck 1950, cosine similarity=0.21
meat duck 1960, cosine similarity=0.26
meat duck 1970, cosine similarity=0.17
meat duck 1980, cosine similarity=0.26
meat duck 1990, cosine similarity=0.19

meat ring 1900, cosine similarity=0.01
meat ring 1910, cosine similarity=0.06
meat ring 1920, cosine similarity=-0.08
meat ring 1930, cosine similarity=0.00
meat ring 1940, cosine similarity=-0.05
meat ring 1950, cosine similarity=0.02
