weather tornado 1920, cosine similarity=0.14
weather tornado 1990, cosine similarity=0.15

weather sleet 1920, cosine similarity=0.20
weather sleet 1990, cosine similarity=0.18

weather cereal 1920, cosine similarity=0.04
weather cereal 1990, cosine similarity=-0.04

shape circle 1920, cosine similarity=0.12
shape circle 1990, cosine similarity=0.12

shape oval 1920, cosine similarity=0.42
shape oval 1990, cosine similarity=0.31

shape capes 1920, cosine similarity=0.01
shape capes 1990, cosine similarity=-0.01

meat pork 1920, cosine similarity=0.58
meat pork 1990, cosine similarity=0.57

meat veal 1920, cosine similarity=0.33
meat veal 1990, cosine similarity=0.44

meat pulp 1920, cosine similarity=0.21
meat pulp 1990, cosine similarity=0.23

meat beef 1920, cosine similarity=0.61
meat beef 1990, cosine similarity=0.63

meat duck 1920, cosine similarity=0.23
meat duck 1990, cosine similarity=0.19

meat ring 1920, cosine similarity=-0.08
meat ring 1990, cosine similarity=0.04

instrument drum 1920, cosine similarity=0.11
instrument drum 1990, cosine similarity=0.18

instrument banjo 1920, cosine similarity=0.12
instrument banjo 1990, cosine similarity=0.09

instrument bolt 1920, cosine similarity=0.00
instrument bolt 1990, cosine similarity=0.07

storm thunder 1920, cosine similarity=0.48
storm thunder 1990, cosine similarity=0.38

storm blizzard 1920, cosine similarity=0.25
storm blizzard 1990, cosine similarity=0.24

storm cannons 1920, cosine similarity=0.18
storm cannons 1990, cosine similarity=0.19

crime robbery 1920, cosine similarity=0.44
crime robbery 1990, cosine similarity=0.42

crime arson 1920, cosine similarity=0.40
crime arson 1990, cosine similarity=0.24

crime signal 1920, cosine similarity=0.02
crime signal 1990, cosine similarity=-0.12

clothing pants 1920, cosine similarity=0.15
clothing pants 1990, cosine similarity=0.16

clothing gloves 1920, cosine similarity=0.29
clothing gloves 1990, cosine similarity=0.40

clothing masks 1920, cosine similarity=0.14
clothing masks 1990, cosine similarity=0.23

flower rose 1920, cosine similarity=0.28
flower rose 1990, cosine similarity=0.28

flower lilac 1920, cosine similarity=0.31
flower lilac 1990, cosine similarity=0.33

flower slot 1920, cosine similarity=0.06
flower slot 1990, cosine similarity=0.17

weapon gun 1920, cosine similarity=0.40
weapon gun 1990, cosine similarity=0.44

weapon club 1920, cosine similarity=0.19
weapon club 1990, cosine similarity=0.12

weapon babe 1920, cosine similarity=0.07
weapon babe 1990, cosine similarity=0.05

crime murder 1920, cosine similarity=0.48
crime murder 1990, cosine similarity=0.45

crime speeding 1920, cosine similarity=0.02
crime speeding 1990, cosine similarity=0.09

crime dragons 1920, cosine similarity=-0.00
crime dragons 1990, cosine similarity=0.04

in house 1920, cosine similarity=0.02
in house 1990, cosine similarity=0.03

in cabin 1920, cosine similarity=0.00
in cabin 1990, cosine similarity=0.04

in jelly 1920, cosine similarity=0.05
in jelly 1990, cosine similarity=0.06

product milk 1920, cosine similarity=0.22
product milk 1990, cosine similarity=0.18

product cream 1920, cosine similarity=0.10
product cream 1990, cosine similarity=0.02

product gold 1920, cosine similarity=0.04
product gold 1990, cosine similarity=0.02

feeling sad 1920, cosine similarity=0.23
feeling sad 1990, cosine similarity=0.27

feeling envy 1920, cosine similarity=0.26
feeling envy 1990, cosine similarity=0.30

feeling well 1920, cosine similarity=0.08
feeling well 1990, cosine similarity=0.18

meat chicken 1920, cosine similarity=0.41
meat chicken 1990, cosine similarity=0.47

meat ham 1920, cosine similarity=0.34
meat ham 1990, cosine similarity=0.28

meat shrub 1920, cosine similarity=0.13
meat shrub 1990, cosine similarity=0.19

color blue 1920, cosine similarity=0.43
color blue 1990, cosine similarity=0.33

color tan 1920, cosine similarity=0.24
color tan 1990, cosine similarity=0.20

color zone 1920, cosine similarity=0.10
color zone 1990, cosine similarity=0.09

read book 1920, cosine similarity=0.27
read book 1990, cosine similarity=0.32

read article 1920, cosine similarity=0.14
read article 1990, cosine similarity=0.15

read warts 1920, cosine similarity=0.00
read warts 1990, cosine similarity=-0.05

seasoning salt 1920, cosine similarity=0.35
seasoning salt 1990, cosine similarity=0.36

seasoning herbs 1920, cosine similarity=0.28
seasoning herbs 1990, cosine similarity=0.27

seasoning risk 1920, cosine similarity=-0.06
seasoning risk 1990, cosine similarity=-0.06

furniture table 1920, cosine similarity=0.08
