weather tornado 1950, cosine similarity=-0.00
weather tornado 1960, cosine similarity=0.07
weather tornado 1970, cosine similarity=0.04
weather tornado 1980, cosine similarity=0.10
weather tornado 1990, cosine similarity=0.15

weather sleet 1950, cosine similarity=0.21
weather sleet 1960, cosine similarity=0.21
weather sleet 1970, cosine similarity=0.17
weather sleet 1980, cosine similarity=0.27
weather sleet 1990, cosine similarity=0.18

weather cereal 1950, cosine similarity=0.06
weather cereal 1960, cosine similarity=0.05
weather cereal 1970, cosine similarity=0.03
weather cereal 1980, cosine similarity=-0.04
weather cereal 1990, cosine similarity=-0.04

shape circle 1950, cosine similarity=0.11
shape circle 1960, cosine similarity=0.12
shape circle 1970, cosine similarity=0.11
shape circle 1980, cosine similarity=0.20
shape circle 1990, cosine similarity=0.12

shape oval 1950, cosine similarity=0.35
shape oval 1960, cosine similarity=0.42
shape oval 1970, cosine similarity=0.38
shape oval 1980, cosine similarity=0.33
shape oval 1990, cosine similarity=0.31

shape capes 1950, cosine similarity=-0.03
shape capes 1960, cosine similarity=-0.08
shape capes 1970, cosine similarity=-0.02
shape capes 1980, cosine similarity=0.06
shape capes 1990, cosine similarity=-0.01

meat pork 1950, cosine similarity=0.53
meat pork 1960, cosine similarity=0.55
meat pork 1970, cosine similarity=0.54
meat pork 1980, cosine similarity=0.57
meat pork 1990, cosine similarity=0.57

meat veal 1950, cosine similarity=0.35
meat veal 1960, cosine similarity=0.33
meat veal 1970, cosine similarity=0.43
meat veal 1980, cosine similarity=0.50
meat veal 1990, cosine similarity=0.44

meat pulp 1950, cosine similarity=0.23
meat pulp 1960, cosine similarity=0.26
meat pulp 1970, cosine similarity=0.30
meat pulp 1980, cosine similarity=0.32
meat pulp 1990, cosine similarity=0.23

meat beef 1950, cosine similarity=0.61
meat beef 1960, cosine similarity=0.60
meat beef 1970, cosine similarity=0.56
meat beef 1980, cosine similarity=0.62
meat beef 1990, cosine similarity=0.63

meat duck 1950, cosine similarity=0.21
meat duck 1960, cosine similarity=0.26
meat duck 1970, cosine similarity=0.17
meat duck 1980, cosine similarity=0.26
meat duck 1990, cosine similarity=0.19

meat ring 1950, cosine similarity=0.02
meat ring 1960, cosine similarity=-0.01
meat ring 1970, cosine similarity=0.02
meat ring 1980, cosine similarity=0.01
meat ring 1990, cosine similarity=0.04

instrument drum 1950, cosine similarity=0.15
instrument drum 1960, cosine similarity=0.20
instrument drum 1970, cosine similarity=0.25
instrument drum 1980, cosine similarity=0.17
instrument drum 1990, cosine similarity=0.18

instrument banjo 1950, cosine similarity=0.11
instrument banjo 1960, cosine similarity=-0.01
instrument banjo 1970, cosine similarity=0.11
instrument banjo 1980, cosine similarity=0.06
instrument banjo 1990, cosine similarity=0.09

instrument bolt 1950, cosine similarity=0.02
instrument bolt 1960, cosine similarity=0.06
instrument bolt 1970, cosine similarity=0.04
instrument bolt 1980, cosine similarity=0.08
instrument bolt 1990, cosine similarity=0.07

storm thunder 1950, cosine similarity=0.48
storm thunder 1960, cosine similarity=0.38
storm thunder 1970, cosine similarity=0.42
storm thunder 1980, cosine similarity=0.38
storm thunder 1990, cosine similarity=0.38

storm blizzard 1950, cosine similarity=0.25
storm blizzard 1960, cosine similarity=0.27
storm blizzard 1970, cosine similarity=0.19
storm blizzard 1980, cosine similarity=0.25
storm blizzard 1990, cosine similarity=0.24

storm cannons 1950, cosine similarity=0.14
storm cannons 1960, cosine similarity=0.11
storm cannons 1970, cosine similarity=0.11
storm cannons 1980, cosine similarity=0.18
storm cannons 1990, cosine similarity=0.19

crime robbery 1950, cosine similarity=0.47
crime robbery 1960, cosine similarity=0.55
crime robbery 1970, cosine similarity=0.39
crime robbery 1980, cosine similarity=0.42
crime robbery 1990, cosine similarity=0.42

crime arson 1950, cosine similarity=0.27
crime arson 1960, cosine similarity=0.38
crime arson 1970, cosine similarity=0.34
crime arson 1980, cosine similarity=0.29
crime arson 1990, cosine similarity=0.24

crime signal 1950, cosine similarity=-0.05
crime signal 1960, cosine similarity=0.00
crime signal 1970, cosine similarity=0.02
crime signal 1980, cosine similarity=-0.12
crime signal 1990, cosine similarity=-0.12

clothing pants 1950, cosine similarity=0.18
clothing pants 1960, cosine similarity=0.21
clothing pants 1970, cosine similarity=0.21
clothing pants 1980, cosine similarity=0.16
clothing pants 1990, cosine similarity=0.16

clothing gloves 1950, cosine similarity=0.29
clothing gloves 1960, cosine similarity=0.35
clothing gloves 1970, cosine similarity=0.32
clothing gloves 1980, cosine similarity=0.35
clothing gloves 1990, cosine similarity=0.40

clothing masks 1950, cosine similarity=0.24
clothing masks 1960, cosine similarity=0.25
clothing masks 1970, cosine similarity=0.23
clothing masks 1980, cosine similarity=0.20
clothing masks 1990, cosine similarity=0.23

flower rose 1950, cosine similarity=0.28
flower rose 1960, cosine similarity=0.22
flower rose 1970, cosine similarity=0.24
flower rose 1980, cosine similarity=0.29
flower rose 1990, cosine similarity=0.28

flower lilac 1950, cosine similarity=0.41
flower lilac 1960, cosine similarity=0.28
flower lilac 1970, cosine similarity=0.37
flower lilac 1980, cosine similarity=0.33
flower lilac 1990, cosine similarity=0.33

flower slot 1950, cosine similarity=0.11
flower slot 1960, cosine similarity=0.11
flower slot 1970, cosine similarity=0.10
flower slot 1980, cosine similarity=0.14
flower slot 1990, cosine similarity=0.17

weapon gun 1950, cosine similarity=0.38
weapon gun 1960, cosine similarity=0.39
weapon gun 1970, cosine similarity=0.33
weapon gun 1980, cosine similarity=0.46
weapon gun 1990, cosine similarity=0.44

weapon club 1950, cosine similarity=0.15
weapon club 1960, cosine similarity=0.15
weapon club 1970, cosine similarity=0.04
weapon club 1980, cosine similarity=0.12
weapon club 1990, cosine similarity=0.12

weapon babe 1950, cosine similarity=0.14
weapon babe 1960, cosine similarity=0.13
weapon babe 1970, cosine similarity=0.12
weapon babe 1980, cosine similarity=0.01
weapon babe 1990, cosine similarity=0.05

crime murder 1950, cosine similarity=0.51
crime murder 1960, cosine similarity=0.49
crime murder 1970, cosine similarity=0.46
crime murder 1980, cosine similarity=0.40
crime murder 1990, cosine similarity=0.45

crime speeding 1950, cosine similarity=-0.00
crime speeding 1960, cosine similarity=-0.02
crime speeding 1970, cosine similarity=0.02
crime speeding 1980, cosine similarity=0.09
crime speeding 1990, cosine similarity=0.09

crime dragons 1950, cosine similarity=-0.05
crime dragons 1960, cosine similarity=-0.04
crime dragons 1970, cosine similarity=0.02
crime dragons 1980, cosine similarity=-0.00
crime dragons 1990, cosine similarity=0.04

in house 1950, cosine similarity=0.04
in house 1960, cosine similarity=0.08
in house 1970, cosine similarity=-0.06
in house 1980, cosine similarity=0.10
in house 1990, cosine similarity=0.03

in cabin 1950, cosine similarity=0.05
in cabin 1960, cosine similarity=0.10
in cabin 1970, cosine similarity=-0.00
in cabin 1980, cosine similarity=0.07
in cabin 1990, cosine similarity=0.04

in jelly 1950, cosine similarity=-0.06
in jelly 1960, cosine similarity=-0.03
in jelly 1970, cosine similarity=0.02
in jelly 1980, cosine similarity=0.05
in jelly 1990, cosine similarity=0.06

product milk 1950, cosine similarity=0.16
product milk 1960, cosine similarity=0.14
product milk 1970, cosine similarity=0.21
product milk 1980, cosine similarity=0.15
product milk 1990, cosine similarity=0.18

product cream 1950, cosine similarity=0.09
product cream 1960, cosine similarity=0.13
product cream 1970, cosine similarity=0.13
product cream 1980, cosine similarity=0.06
product cream 1990, cosine similarity=0.02

product gold 1950, cosine similarity=0.00
product gold 1960, cosine similarity=0.03
product gold 1970, cosine similarity=-0.02
product gold 1980, cosine similarity=0.00
product gold 1990, cosine similarity=0.02

feeling sad 1950, cosine similarity=0.21
feeling sad 1960, cosine similarity=0.17
feeling sad 1970, cosine similarity=0.23
feeling sad 1980, cosine similarity=0.28
feeling sad 1990, cosine similarity=0.27

feeling envy 1950, cosine similarity=0.29
feeling envy 1960, cosine similarity=0.31
feeling envy 1970, cosine similarity=0.32
feeling envy 1980, cosine similarity=0.30
feeling envy 1990, cosine similarity=0.30

feeling well 1950, cosine similarity=0.10
feeling well 1960, cosine similarity=0.15
feeling well 1970, cosine similarity=0.15
feeling well 1980, cosine similarity=0.12
feeling well 1990, cosine similarity=0.18

meat chicken 1950, cosine similarity=0.41
meat chicken 1960, cosine similarity=0.47
meat chicken 1970, cosine similarity=0.41
meat chicken 1980, cosine similarity=0.45
meat chicken 1990, cosine similarity=0.47

meat ham 1950, cosine similarity=0.36
meat ham 1960, cosine similarity=0.33
meat ham 1970, cosine similarity=0.29
meat ham 1980, cosine similarity=0.35
meat ham 1990, cosine similarity=0.28

meat shrub 1950, cosine similarity=0.17
meat shrub 1960, cosine similarity=0.16
meat shrub 1970, cosine similarity=0.18
meat shrub 1980, cosine similarity=0.11
meat shrub 1990, cosine similarity=0.19

color blue 1950, cosine similarity=0.41
color blue 1960, cosine similarity=0.38
color blue 1970, cosine similarity=0.32
color blue 1980, cosine similarity=0.31
color blue 1990, cosine similarity=0.33

color tan 1950, cosine similarity=0.32
color tan 1960, cosine similarity=0.21
color tan 1970, cosine similarity=0.21
color tan 1980, cosine similarity=0.28
color tan 1990, cosine similarity=0.20

color zone 1950, cosine similarity=0.11
color zone 1960, cosine similarity=0.04
color zone 1970, cosine similarity=-0.02
color zone 1980, cosine similarity=0.08
color zone 1990, cosine similarity=0.09

read book 1950, cosine similarity=0.32
read book 1960, cosine similarity=0.32
read book 1970, cosine similarity=0.31
read book 1980, cosine similarity=0.32
read book 1990, cosine similarity=0.32

read article 1950, cosine similarity=0.24
read article 1960, cosine similarity=0.20
read article 1970, cosine similarity=0.17
read article 1980, cosine similarity=0.25
read article 1990, cosine similarity=0.15

read warts 1950, cosine similarity=-0.14
read warts 1960, cosine similarity=-0.19
read warts 1970, cosine similarity=-0.09
read warts 1980, cosine similarity=-0.11
read warts 1990, cosine similarity=-0.05

seasoning salt 1950, cosine similarity=0.36
seasoning salt 1960, cosine similarity=0.30
seasoning salt 1970, cosine similarity=0.30
seasoning salt 1980, cosine similarity=0.33
seasoning salt 1990, cosine similarity=0.36

seasoning herbs 1950, cosine similarity=0.31
seasoning herbs 1960, cosine similarity=0.23
seasoning herbs 1970, cosine similarity=0.25
seasoning herbs 1980, cosine similarity=0.30
seasoning herbs 1990, cosine similarity=0.27

seasoning risk 1950, cosine similarity=-0.02
seasoning risk 1960, cosine similarity=-0.08
seasoning risk 1970, cosine similarity=-0.03
seasoning risk 1980, cosine similarity=-0.07
seasoning risk 1990, cosine similarity=-0.06

furniture table 1950, cosine similarity=0.12
furniture table 1960, cosine similarity=0.13
furniture table 1970, cosine similarity=0.11
furniture table 1980, cosine similarity=0.12
furniture table 1990, cosine similarity=0.10

furniture shelf 1950, cosine similarity=0.18
furniture shelf 1960, cosine similarity=0.15
furniture shelf 1970, cosine similarity=0.15
furniture shelf 1980, cosine similarity=0.17
furniture shelf 1990, cosine similarity=0.18

furniture elbow 1950, cosine similarity=-0.01
furniture elbow 1960, cosine similarity=0.13
furniture elbow 1970, cosine similarity=0.01
furniture elbow 1980, cosine similarity=0.01
furniture elbow 1990, cosine similarity=-0.07

seasoning pepper 1950, cosine similarity=0.41
seasoning pepper 1960, cosine similarity=0.43
seasoning pepper 1970, cosine similarity=0.39
seasoning pepper 1980, cosine similarity=0.42
seasoning pepper 1990, cosine similarity=0.44

seasoning ketchup 1950, cosine similarity=0.00
seasoning ketchup 1960, cosine similarity=0.00
seasoning ketchup 1970, cosine similarity=0.00
seasoning ketchup 1980, cosine similarity=0.41
seasoning ketchup 1990, cosine similarity=0.26

seasoning peanut 1950, cosine similarity=0.36
seasoning peanut 1960, cosine similarity=0.37
seasoning peanut 1970, cosine similarity=0.29
seasoning peanut 1980, cosine similarity=0.36
seasoning peanut 1990, cosine similarity=0.30

furniture chair 1950, cosine similarity=0.11
furniture chair 1960, cosine similarity=0.17
furniture chair 1970, cosine similarity=0.15
furniture chair 1980, cosine similarity=0.16
furniture chair 1990, cosine similarity=0.15

furniture stool 1950, cosine similarity=0.03
furniture stool 1960, cosine similarity=0.02
furniture stool 1970, cosine similarity=0.09
furniture stool 1980, cosine similarity=0.08
furniture stool 1990, cosine similarity=0.05

furniture witch 1950, cosine similarity=-0.04
furniture witch 1960, cosine similarity=-0.03
furniture witch 1970, cosine similarity=-0.04
furniture witch 1980, cosine similarity=-0.01
furniture witch 1990, cosine similarity=0.04

fruit banana 1950, cosine similarity=0.31
fruit banana 1960, cosine similarity=0.40
fruit banana 1970, cosine similarity=0.39
fruit banana 1980, cosine similarity=0.33
fruit banana 1990, cosine similarity=0.35

fruit melon 1950, cosine similarity=0.33
fruit melon 1960, cosine similarity=0.21
fruit melon 1970, cosine similarity=0.26
fruit melon 1980, cosine similarity=0.24
fruit melon 1990, cosine similarity=0.23

fruit wagon 1950, cosine similarity=0.11
fruit wagon 1960, cosine similarity=0.13
fruit wagon 1970, cosine similarity=0.03
fruit wagon 1980, cosine similarity=0.13
fruit wagon 1990, cosine similarity=0.06

clothing shirt 1950, cosine similarity=0.29
clothing shirt 1960, cosine similarity=0.30
clothing shirt 1970, cosine similarity=0.26
clothing shirt 1980, cosine similarity=0.22
clothing shirt 1990, cosine similarity=0.23

clothing coat 1950, cosine similarity=0.25
clothing coat 1960, cosine similarity=0.25
clothing coat 1970, cosine similarity=0.27
clothing coat 1980, cosine similarity=0.21
clothing coat 1990, cosine similarity=0.26

clothing fish 1950, cosine similarity=0.09
clothing fish 1960, cosine similarity=0.12
clothing fish 1970, cosine similarity=0.14
clothing fish 1980, cosine similarity=0.05
clothing fish 1990, cosine similarity=0.13

rodent rat 1950, cosine similarity=0.00
rodent rat 1960, cosine similarity=0.35
rodent rat 1970, cosine similarity=0.34
rodent rat 1980, cosine similarity=0.33
rodent rat 1990, cosine similarity=0.28

rodent gopher 1950, cosine similarity=0.00
rodent gopher 1960, cosine similarity=0.00
rodent gopher 1970, cosine similarity=0.00
rodent gopher 1980, cosine similarity=0.15
rodent gopher 1990, cosine similarity=0.14

rodent ribs 1950, cosine similarity=0.00
rodent ribs 1960, cosine similarity=0.17
rodent ribs 1970, cosine similarity=0.05
rodent ribs 1980, cosine similarity=0.03
rodent ribs 1990, cosine similarity=0.03

house kitchen 1950, cosine similarity=0.32
house kitchen 1960, cosine similarity=0.31
house kitchen 1970, cosine similarity=0.32
house kitchen 1980, cosine similarity=0.31
house kitchen 1990, cosine similarity=0.31

house office 1950, cosine similarity=0.22
house office 1960, cosine similarity=0.16
house office 1970, cosine similarity=0.22
house office 1980, cosine similarity=0.30
house office 1990, cosine similarity=0.23

house monkey 1950, cosine similarity=-0.03
house monkey 1960, cosine similarity=0.04
house monkey 1970, cosine similarity=0.01
house monkey 1980, cosine similarity=-0.03
house monkey 1990, cosine similarity=0.05

animal lion 1950, cosine similarity=0.29
animal lion 1960, cosine similarity=0.23
animal lion 1970, cosine similarity=0.23
animal lion 1980, cosine similarity=0.21
animal lion 1990, cosine similarity=0.17

animal zebra 1950, cosine similarity=0.10
animal zebra 1960, cosine similarity=0.21
animal zebra 1970, cosine similarity=0.19
animal zebra 1980, cosine similarity=0.07
animal zebra 1990, cosine similarity=0.06

animal acid 1950, cosine similarity=0.08
animal acid 1960, cosine similarity=0.11
animal acid 1970, cosine similarity=0.09
animal acid 1980, cosine similarity=0.06
animal acid 1990, cosine similarity=0.07

vegetable carrot 1950, cosine similarity=0.22
vegetable carrot 1960, cosine similarity=0.16
vegetable carrot 1970, cosine similarity=0.20
vegetable carrot 1980, cosine similarity=0.25
vegetable carrot 1990, cosine similarity=0.33

vegetable beet 1950, cosine similarity=0.34
vegetable beet 1960, cosine similarity=0.36
vegetable beet 1970, cosine similarity=0.32
vegetable beet 1980, cosine similarity=0.26
vegetable beet 1990, cosine similarity=0.27

vegetable rest 1950, cosine similarity=0.06
vegetable rest 1960, cosine similarity=0.13
vegetable rest 1970, cosine similarity=0.05
vegetable rest 1980, cosine similarity=0.00
vegetable rest 1990, cosine similarity=0.03

season spring 1950, cosine similarity=0.44
season spring 1960, cosine similarity=0.40
season spring 1970, cosine similarity=0.42
season spring 1980, cosine similarity=0.40
season spring 1990, cosine similarity=0.38

season cold 1950, cosine similarity=0.23
season cold 1960, cosine similarity=0.28
season cold 1970, cosine similarity=0.25
season cold 1980, cosine similarity=0.23
season cold 1990, cosine similarity=0.23

season stump 1950, cosine similarity=0.01
season stump 1960, cosine similarity=0.04
season stump 1970, cosine similarity=0.05
season stump 1980, cosine similarity=0.03
season stump 1990, cosine similarity=0.05

tool shovel 1950, cosine similarity=0.22
tool shovel 1960, cosine similarity=0.17
tool shovel 1970, cosine similarity=0.11
tool shovel 1980, cosine similarity=0.17
tool shovel 1990, cosine similarity=0.13

tool spade 1950, cosine similarity=0.22
tool spade 1960, cosine similarity=0.21
tool spade 1970, cosine similarity=0.13
tool spade 1980, cosine similarity=0.07
tool spade 1990, cosine similarity=0.10

tool lunch 1950, cosine similarity=-0.07
tool lunch 1960, cosine similarity=-0.02
tool lunch 1970, cosine similarity=0.01
tool lunch 1980, cosine similarity=-0.04
tool lunch 1990, cosine similarity=-0.05

relative uncle 1950, cosine similarity=-0.01
relative uncle 1960, cosine similarity=-0.01
relative uncle 1970, cosine similarity=-0.02
relative uncle 1980, cosine similarity=0.01
relative uncle 1990, cosine similarity=-0.05

relative son 1950, cosine similarity=-0.07
relative son 1960, cosine similarity=-0.06
relative son 1970, cosine similarity=-0.12
relative son 1980, cosine similarity=-0.08
relative son 1990, cosine similarity=-0.10

relative slice 1950, cosine similarity=-0.09
relative slice 1960, cosine similarity=-0.03
relative slice 1970, cosine similarity=0.01
relative slice 1980, cosine similarity=-0.01
