weather tornado 1810, cosine similarity=0.00
weather tornado 1990, cosine similarity=0.15

weather sleet 1810, cosine similarity=0.00
weather sleet 1990, cosine similarity=0.18

weather cereal 1810, cosine similarity=0.00
weather cereal 1990, cosine similarity=-0.04

shape circle 1810, cosine similarity=0.09
shape circle 1990, cosine similarity=0.12

shape oval 1810, cosine similarity=0.49
shape oval 1990, cosine similarity=0.31

shape capes 1810, cosine similarity=0.00
shape capes 1990, cosine similarity=-0.01

meat pork 1810, cosine similarity=0.44
meat pork 1990, cosine similarity=0.57

meat veal 1810, cosine similarity=0.00
meat veal 1990, cosine similarity=0.44

meat pulp 1810, cosine similarity=0.00
meat pulp 1990, cosine similarity=0.23

meat beef 1810, cosine similarity=0.47
meat beef 1990, cosine similarity=0.63

meat duck 1810, cosine similarity=0.19
meat duck 1990, cosine similarity=0.19

meat ring 1810, cosine similarity=-0.02
meat ring 1990, cosine similarity=0.04

instrument drum 1810, cosine similarity=0.17
instrument drum 1990, cosine similarity=0.18

instrument banjo 1810, cosine similarity=0.00
instrument banjo 1990, cosine similarity=0.09

instrument bolt 1810, cosine similarity=0.14
instrument bolt 1990, cosine similarity=0.07

storm thunder 1810, cosine similarity=0.35
storm thunder 1990, cosine similarity=0.38

storm blizzard 1810, cosine similarity=0.00
storm blizzard 1990, cosine similarity=0.24

storm cannons 1810, cosine similarity=0.00
storm cannons 1990, cosine similarity=0.19

crime robbery 1810, cosine similarity=0.36
crime robbery 1990, cosine similarity=0.42

crime arson 1810, cosine similarity=0.00
crime arson 1990, cosine similarity=0.24

crime signal 1810, cosine similarity=0.10
crime signal 1990, cosine similarity=-0.12

clothing pants 1810, cosine similarity=0.00
clothing pants 1990, cosine similarity=0.16

clothing gloves 1810, cosine similarity=0.24
clothing gloves 1990, cosine similarity=0.40

clothing masks 1810, cosine similarity=0.00
clothing masks 1990, cosine similarity=0.23

flower rose 1810, cosine similarity=0.22
flower rose 1990, cosine similarity=0.28

flower lilac 1810, cosine similarity=0.00
flower lilac 1990, cosine similarity=0.33

flower slot 1810, cosine similarity=0.00
flower slot 1990, cosine similarity=0.17

weapon gun 1810, cosine similarity=0.18
weapon gun 1990, cosine similarity=0.44

weapon club 1810, cosine similarity=0.22
weapon club 1990, cosine similarity=0.12

weapon babe 1810, cosine similarity=0.10
weapon babe 1990, cosine similarity=0.05

crime murder 1810, cosine similarity=0.48
crime murder 1990, cosine similarity=0.45

crime speeding 1810, cosine similarity=0.00
crime speeding 1990, cosine similarity=0.09

crime dragons 1810, cosine similarity=0.00
crime dragons 1990, cosine similarity=0.04

in house 1810, cosine similarity=0.06
in house 1990, cosine similarity=0.03

in cabin 1810, cosine similarity=-0.05
in cabin 1990, cosine similarity=0.04

in jelly 1810, cosine similarity=0.00
in jelly 1990, cosine similarity=0.06

product milk 1810, cosine similarity=0.21
product milk 1990, cosine similarity=0.18

product cream 1810, cosine similarity=0.11
product cream 1990, cosine similarity=0.02

product gold 1810, cosine similarity=0.04
product gold 1990, cosine similarity=0.02

feeling sad 1810, cosine similarity=0.19
feeling sad 1990, cosine similarity=0.27

feeling envy 1810, cosine similarity=0.22
feeling envy 1990, cosine similarity=0.30

feeling well 1810, cosine similarity=0.05
feeling well 1990, cosine similarity=0.18

meat chicken 1810, cosine similarity=0.00
meat chicken 1990, cosine similarity=0.47

meat ham 1810, cosine similarity=0.26
meat ham 1990, cosine similarity=0.28

meat shrub 1810, cosine similarity=0.19
meat shrub 1990, cosine similarity=0.19

color blue 1810, cosine similarity=0.37
color blue 1990, cosine similarity=0.33

color tan 1810, cosine similarity=0.00
color tan 1990, cosine similarity=0.20

color zone 1810, cosine similarity=0.17
color zone 1990, cosine similarity=0.09

read book 1810, cosine similarity=0.39
read book 1990, cosine similarity=0.32

read article 1810, cosine similarity=0.04
read article 1990, cosine similarity=0.15

read warts 1810, cosine similarity=0.00
read warts 1990, cosine similarity=-0.05

seasoning salt 1810, cosine similarity=0.00
seasoning salt 1990, cosine similarity=0.36

seasoning herbs 1810, cosine similarity=0.00
seasoning herbs 1990, cosine similarity=0.27

seasoning risk 1810, cosine similarity=0.00
seasoning risk 1990, cosine similarity=-0.06

furniture table 1810, cosine similarity=0.22
