weather tornado 1950, cosine similarity=-0.00
weather tornado 1990, cosine similarity=0.15

weather sleet 1950, cosine similarity=0.21
weather sleet 1990, cosine similarity=0.18

weather cereal 1950, cosine similarity=0.06
weather cereal 1990, cosine similarity=-0.04

shape circle 1950, cosine similarity=0.11
shape circle 1990, cosine similarity=0.12

shape oval 1950, cosine similarity=0.35
shape oval 1990, cosine similarity=0.31

shape capes 1950, cosine similarity=-0.03
shape capes 1990, cosine similarity=-0.01

meat pork 1950, cosine similarity=0.53
meat pork 1990, cosine similarity=0.57

meat veal 1950, cosine similarity=0.35
meat veal 1990, cosine similarity=0.44

meat pulp 1950, cosine similarity=0.23
meat pulp 1990, cosine similarity=0.23

meat beef 1950, cosine similarity=0.61
meat beef 1990, cosine similarity=0.63

meat duck 1950, cosine similarity=0.21
meat duck 1990, cosine similarity=0.19

meat ring 1950, cosine similarity=0.02
meat ring 1990, cosine similarity=0.04

instrument drum 1950, cosine similarity=0.15
instrument drum 1990, cosine similarity=0.18

instrument banjo 1950, cosine similarity=0.11
instrument banjo 1990, cosine similarity=0.09

instrument bolt 1950, cosine similarity=0.02
instrument bolt 1990, cosine similarity=0.07

storm thunder 1950, cosine similarity=0.48
storm thunder 1990, cosine similarity=0.38

storm blizzard 1950, cosine similarity=0.25
storm blizzard 1990, cosine similarity=0.24

storm cannons 1950, cosine similarity=0.14
storm cannons 1990, cosine similarity=0.19

crime robbery 1950, cosine similarity=0.47
crime robbery 1990, cosine similarity=0.42

crime arson 1950, cosine similarity=0.27
crime arson 1990, cosine similarity=0.24

crime signal 1950, cosine similarity=-0.05
crime signal 1990, cosine similarity=-0.12

clothing pants 1950, cosine similarity=0.18
clothing pants 1990, cosine similarity=0.16

clothing gloves 1950, cosine similarity=0.29
clothing gloves 1990, cosine similarity=0.40

clothing masks 1950, cosine similarity=0.24
clothing masks 1990, cosine similarity=0.23

flower rose 1950, cosine similarity=0.28
flower rose 1990, cosine similarity=0.28

flower lilac 1950, cosine similarity=0.41
flower lilac 1990, cosine similarity=0.33

flower slot 1950, cosine similarity=0.11
flower slot 1990, cosine similarity=0.17

weapon gun 1950, cosine similarity=0.38
weapon gun 1990, cosine similarity=0.44

weapon club 1950, cosine similarity=0.15
weapon club 1990, cosine similarity=0.12

weapon babe 1950, cosine similarity=0.14
weapon babe 1990, cosine similarity=0.05

crime murder 1950, cosine similarity=0.51
crime murder 1990, cosine similarity=0.45

crime speeding 1950, cosine similarity=-0.00
crime speeding 1990, cosine similarity=0.09

crime dragons 1950, cosine similarity=-0.05
crime dragons 1990, cosine similarity=0.04

in house 1950, cosine similarity=0.04
in house 1990, cosine similarity=0.03

in cabin 1950, cosine similarity=0.05
in cabin 1990, cosine similarity=0.04

in jelly 1950, cosine similarity=-0.06
in jelly 1990, cosine similarity=0.06

product milk 1950, cosine similarity=0.16
product milk 1990, cosine similarity=0.18

product cream 1950, cosine similarity=0.09
product cream 1990, cosine similarity=0.02

product gold 1950, cosine similarity=0.00
product gold 1990, cosine similarity=0.02

feeling sad 1950, cosine similarity=0.21
feeling sad 1990, cosine similarity=0.27

feeling envy 1950, cosine similarity=0.29
feeling envy 1990, cosine similarity=0.30

feeling well 1950, cosine similarity=0.10
feeling well 1990, cosine similarity=0.18

meat chicken 1950, cosine similarity=0.41
meat chicken 1990, cosine similarity=0.47

meat ham 1950, cosine similarity=0.36
meat ham 1990, cosine similarity=0.28

meat shrub 1950, cosine similarity=0.17
meat shrub 1990, cosine similarity=0.19

color blue 1950, cosine similarity=0.41
color blue 1990, cosine similarity=0.33

color tan 1950, cosine similarity=0.32
color tan 1990, cosine similarity=0.20

color zone 1950, cosine similarity=0.11
color zone 1990, cosine similarity=0.09

read book 1950, cosine similarity=0.32
read book 1990, cosine similarity=0.32

read article 1950, cosine similarity=0.24
read article 1990, cosine similarity=0.15

read warts 1950, cosine similarity=-0.14
read warts 1990, cosine similarity=-0.05

seasoning salt 1950, cosine similarity=0.36
seasoning salt 1990, cosine similarity=0.36

seasoning herbs 1950, cosine similarity=0.31
seasoning herbs 1990, cosine similarity=0.27

seasoning risk 1950, cosine similarity=-0.02
seasoning risk 1990, cosine similarity=-0.06

